A.C. Green,711
A.J. Guyton,455
Aaron McKie,2141
Aaron Williams,1454
Adam Keefe,157
Adonal Foyle,460
Adrian Griffin,89
Al Harrington,890
Alan Henderson,2143
Allan Houston,5216
Allen Iverson,15681
Alonzo Mourning,725
Alvin Williams,1298
Andre Miller,3145
Andrew DeClercq,359
Anfernee Hardaway,25
Antawn Jamison,7695
Anthony Carter,957
Anthony Goldwire,184
Anthony Johnson,77
Anthony Mason,4449
Anthony Miller,2
Anthony Peeler,1472
Antoine Walker,6969
Antonio Daniels,1549
Antonio Davis,3779
Antonio Harvey,90
Antonio McDyess,5898
Arvydas Sabonis,1993
Austin Croshere,1640
Avery Johnson,560
Baron Davis,2667
Ben Wallace,680
Bill Curley,109
Billy Owens,190
Bimbo Coles,307
Bo Outlaw,876
Bob Sura,1205
Bobby Jackson,1071
Bonzi Wells,2389
Brad Miller,1090
Brent Barry,1217
Brent Price,7
Brevin Knight,719
Brian Cardinal,16
Brian Grant,4053
Brian Shaw,541
Brian Skinner,436
Bruce Bowen,1118
Bruno Sundov,116
Bryant Reeves,1633
Bryant Stith,1670
Bryce Drew,526
Bryon Russell,2114
Cal Bowdler,125
Calbert Cheaney,18
Calvin Booth,379
Carlos Rogers,258
Cedric Ceballos,711
Cedric Henderson,433
Charles Oakley,1813
Charlie Ward,780
Chauncey Billups,1464
Cherokee Parks,496
Chris Carr,303
Chris Childs,512
Chris Crawford,596
Chris Dudley,38
Chris Garner,58
Chris Gatling,1642
Chris Herren,114
Chris Mihm,567
Chris Mills,420
Chris Mullin,167
Chris Porter,949
Chris Webber,8480
Chris Whitney,1643
Christian Laettner,2109
Chucky Atkins,2477
Chucky Brown,106
Clar. Weatherspoon,2345
Clifford Robinson,4446
Corey Benjamin,484
Corey Maggette,2324
Corie Blount,400
Corliss Williamson,1927
Cory Alexander,39
Courtney Alexander,1717
Cuttino Mobley,5308
Dale Davis,974
Dalibor Bagaric,30
Damon Jones,557
Damon Stoudamire,2539
Dan Langhi,59
Dan Majerle,337
Dan McClintock,32
Dana Barros,938
Daniel Santiago,222
Danny Ferry,567
Danny Fortson,275
Danny Manning,799
Darius Miles,1827
Darrell Armstrong,3944
Darrick Martin,101
Darvin Ham,143
David Benoit,311
David Robinson,3274
David Vanterpool,180
David Wesley,4501
David Wingate,12
DeShawn Stevenson,63
Dean Garrett,139
Dee Brown,40
Dell Curry,674
DerMarr Johnson,645
Derek Anderson,3508
Derek Fisher,323
Derek Strong,155
Derrick Coleman,592
Derrick Dial,96
Derrick McKey,159
Desmond Mason,666
Detlef Schrempf,171
Devean George,138
Dikembe Mutombo,1835
Dion Glover,494
Dirk Nowitzki,6140
Don MacLean,11
Don Reid,256
Donnell Harvey,8
Donyell Marshall,3348
Doug Christie,2486
Doug Overton,241
Doug West,15
Dragan Tarlac,113
Duane Causwell,74
Earl Boykins,100
Eddie Gill,50
Eddie House,433
Eddie Jones,3892
Eddie Robinson,887
Eduardo Najera,139
Elden Campbell,2643
Eldridge Recasner,118
